word/phrase,total,positive,pos_rate
lyft,7,4,0.5714285714285710
trains,7,4,0.5714285714285710
airbnb,2,1,0.5
subway,29,13,0.4482758620689660
golfing,6,2,0.3333333333333330
pub,17,5,0.29411764705882400
gym,127,36,0.28346456692913400
commute,9,2,0.2222222222222220
hotel,66,13,0.19696969696969700
shopping,71,13,0.18309859154929600
airport,82,15,0.18292682926829300
uber,48,8,0.16666666666666700
beach,241,39,0.16182572614107900
train,64,10,0.15625
bar,161,24,0.14906832298136600
cafe,34,5,0.14705882352941200
visited,21,3,0.14285714285714300
travels,21,3,0.14285714285714300
vacations,7,1,0.14285714285714300
traveling,23,3,0.13043478260869600
yoga,23,3,0.13043478260869600
campus,63,8,0.12698412698412700
stores,61,7,0.11475409836065600
bus,58,6,0.10344827586206900
salon,20,2,0.1
conferences,10,1,0.1
trip,219,20,0.091324200913242
theater,22,2,0.09090909090909090
store,222,20,0.09009009009009010
grocery store,36,3,0.08333333333333330
office,243,19,0.07818930041152260
restaurants,57,4,0.07017543859649120
restaurant,125,8,0.064
churches,16,1,0.0625
gyms,16,1,0.0625
mall,33,2,0.06060606060606060
vacation,91,5,0.054945054945054900
travel,170,9,0.052941176470588200
flew,19,1,0.05263157894736840
tripping,20,1,0.05
shop,122,6,0.04918032786885250
shops,22,1,0.045454545454545500
flying,183,8,0.04371584699453550
bars,70,3,0.04285714285714290
visit,133,5,0.03759398496240600
conference,116,4,0.034482758620689700
trips,29,1,0.034482758620689700
practicing,30,1,0.03333333333333330
go out,92,3,0.03260869565217390
meeting,100,3,0.03
work out,38,1,0.02631578947368420
haircut,44,1,0.022727272727272700
practice,90,2,0.022222222222222200
church,144,3,0.020833333333333300
tennis,49,1,0.02040816326530610
service,214,4,0.018691588785046700
concert,86,1,0.011627906976744200
fly,91,1,0.01098901098901100
mass,45,0,0.0
traveled,9,0,0.0
concerts,21,0,0.0
barber,30,0,0.0
camps,11,0,0.0
salons,6,0,0.0
visiting,29,0,0.0
services,74,0,0.0
visits,20,0,0.0
hotels,17,0,0.0
training,14,0,0.0
metro,21,0,0.0
flown,5,0,0.0
commutes,3,0,0.0
taxi,9,0,0.0
tripped,5,0,0.0
practices,15,0,0.0
airports,5,0,0.0
haircuts,6,0,0.0
taxis,1,0,0.0
offices,9,0,0.0
commuted,2,0,0.0
barred,1,0,0.0
theaters,14,0,0.0
flies,19,0,0.0
malls,1,0,0.0
travelling,7,0,0.0
motel,3,0,0.0
gaming,7,0,0.0
meetings,26,0,0.0
trained,28,0,0.0
deliveries,6,0,0.0
worshiping,1,0,0.0
practiced,5,0,0.0
worshipping,2,0,0.0
rideshare,88,0,0.0
vacationing,2,0,0.0
stored,3,0,0.0
hairdresser,3,0,0.0
barbers,8,0,0.0
flys,1,0,0.0
subways,3,0,0.0
busses,1,0,0.0
shopped,3,0,0.0
flyest,2,0,0.0
buses,5,0,0.0
pubs,1,0,0.0
commuting,2,0,0.0
campuses,2,0,0.0
worships,1,0,0.0
parking,1,0,0.0
hikes,2,0,0.0
meet up,14,0,0.0
hang out,34,0,0.0
go to work,20,0,0.0
hair cut,8,0,0.0
coffee shop,3,0,0.0
,4904,376,0.07667